patriot_sku,name,group,price_day,price_week,price_month
P-1,"10' Tilt Trailer","Trailers",60.00,195.00,450.00
P-2,"14' Load Trail 14K Dump Trailer","Trailers",120.00,325.00,925.00
P-3,"14' Rice Trailer","Trailers",70.00,205.00,495.00
P-4,"14k GVWR Rice Equipment Trailer","Trailers",85.00,235.00,685.00
P-5,"14k Rice Equipment Trailer","Trailers",85.00,235.00,685.00
P-6,"16' Big Tex 14K Dump Trailer","Trailers",150.00,400.00,1275.00
P-7,"16' Enclosed Cargo Trailer 7K","Trailers",120.00,380.00,975.00
P-8,"20' Genie Single Man Scissorlift","Man Lifts and Forklifts",125.00,200.00,475.00
P-9,"20' TILT RICE TRAILER 14K GVWR","Trailers",95.00,295.00,745.00
P-10,"24' Enclosed Cargo Trailer 7k GVwr","Trailers",140.00,450.00,1250.00
P-11,"3 PT 5' Box Blade","Tractors & Attachments",85.00,235.00,685.00
P-12,"3 PT 6' Disc","Tractors & Attachments",60.00,160.00,460.00
P-13,"3 Pt Broadcast Seeder","Tractors & Attachments",60.00,160.00,460.00
P-14,"3-Point Hitch Auger","Default",95.00,265.00,795.00
P-15,"3-Point Rock Rake","Tractors & Attachments",85.00,235.00,685.00
P-16,"3/4"" Air Compresoor Hose for IR185","Air Compressors & Water Pumps",20.00,60.00,150.00
P-17,"32' Fiberglass Extension Ladder","Construction",45.00,160.00,350.00
P-18,"32' Skyjack 4632 Scissor Lift","Man Lifts and Forklifts",185.00,390.00,1150.00
P-19,"4 Wheel Furniture Dolly","Other",10.00,30.00,90.00
P-20,"40' BIG TEX 25GN 25K GOOSENECK TRAILER","Trailers",205.00,825.00,1845.00
P-21,"40' BIG TEX 25GN 25K GOOSENECK TRAILER #2","Trailers",205.00,825.00,1845.00
P-22,"5' 3 PT Bush Hog","Tractors & Attachments",90.00,240.00,700.00
P-23,"6' Box Blade Attachment","Tractors & Attachments",95.00,265.00,795.00
P-24,"9000W Portable Generator","Generators",85.00,225.00,765.00
P-25,"Air Compressor Hose -50'","Air Compressors & Water Pumps",10.00,35.00,105.00
P-26,"Air Hose","Air Compressors & Water Pumps",10.00,35.00,105.00
P-27,"American Sanders EZ8 Floor Sander","Construction",65.00,195.00,495.00
P-28,"Barreto 3X4 Tilt Trailer #1","Trailers",40.00,145.00,375.00
P-29,"Barreto 3X4 Tilt Trailer #2","Trailers",40.00,145.00,375.00
P-30,"Bauer Heat Gun","Other",10.00,35.00,105.00
P-31,"Bauer Jack Hammer","Construction",85.00,255.00,765.00
P-32,"Billy Goat Plugr 25"" Hydro-Drive Lawn Aerator","Other",65.00,195.00,495.00
P-33,"Bobcat 553 Skid Steer","Skid Steers & Attachments",225.00,600.00,1900.00
P-34,"Bobcat Dingo Jackhammer Attachment","Skid Steers & Attachments",185.00,555.00,1595.00
P-35,"Bobcat Log Grapple Skid Steer Attachment","Skid Steers & Attachments",125.00,375.00,795.00
P-36,"Bobcat Skid Steer Sweeper Attachment","Skid Steers & Attachments",190.00,545.00,1350.00
P-37,"Bomag 55W Vibratory Roller","Rollers",105.00,325.00,995.00
P-38,"Bomag Plate Compactor","Construction",55.00,155.00,460.00
P-39,"Bostitch Nail Gun","Construction",20.00,60.00,180.00
P-40,"Bostitch Pancake Portable Air Compressor","Air Compressors & Water Pumps",20.00,60.00,180.00
P-41,"Box Blade - 10' Pull Behind","Tractors & Attachments",95.00,265.00,795.00
P-42,"Branson Tractor 2515H","Tractors & Attachments",180.00,495.00,1295.00
P-43,"Carpet Knee Kicker","Construction",15.00,45.00,135.00
P-44,"Concrete Float - 4'","Concrete",15.00,45.00,135.00
P-45,"Concrete Float -3'9""","Concrete",15.00,45.00,135.00
P-46,"Concrete Jitterbug tamper","Concrete",20.00,60.00,100.00
P-47,"Concrete Vibrating Screed 2x4","Concrete",60.00,170.00,470.00
P-48,"Concrete Vibrator","Concrete",80.00,234.00,685.00
P-49,"Cotton Candy Machine","Other",40.00,130.00,400.00
